"Date","Sex","0.5","1","2","3","4","5","SiteBox"
"8_14_2023","M",21.09,32.18,20.45,19.57,18.83,11.87,"HG1"
"June_27_2023","F",14.21,12.31,14.51,11.74,7.14,9.51,"HG1"
"June_26_2023","F",15.04,15.36,11.99,8.74,7.84,12.53,"HG2"
"June_19_2023","M",38.78,19.52,24.2,15.5,21.08,10.56,"HG2"
"8_20_2023","M",38.14,28.05,17.46,19.12,18.24,19.11,"HG4"
"8_2_2023","F",13.58,10.5,5.94,8.88,11.07,10.13,"HG4"
"June_6_2023","F",33.64,34.35,36.59,25.45,30.7,37.02,"LL10"
"7_19_2023","M",55.15,46.35,52.52,35.31,37.83,37.86,"LL10"
"8_18_2023","M",37.16,37.95,28.58,32.4,41.03,32.9,"LL2"
"June_8_2023","F",37.19,41.91,21.45,32.44,29.29,27.76,"LL2"
"June_6_2023","F",26.29,35.65,NA,NA,NA,NA,"LL3"
"8_26_2023","M",43.9,42.71,NA,NA,NA,NA,"LL3"
"7_14_2023","",NA,NA,NA,NA,NA,NA,"LL3"
"8_15_2023","F",36.34,40.33,33.86,33.75,35.63,32.92,"LL5"
"7_17_2023","M",9999,47.16,29.87,39.89,37.2,29.18,"LL5"
"7_2_2023","M",51.79,37.58,33.13,32.82,29.73,43.28,"LL6"
"7_3_2023","F",29.05,35.75,27.53,30.73,27.31,25.25,"LL6"
"8_5_2023","",NA,NA,NA,NA,NA,NA,"LL7"
"7_20_2023","F",NA,NA,NA,NA,34.59,30.31,"LL7"
"7_11_2023","M",NA,NA,NA,NA,41.84,30.07,"LL7"
"7_3_2023","F",32.41,31.65,35.63,31.74,27.17,33.2,"LL8"
"June_5_2023","M",9999,50.62,40.47,39.21,26.7,39.57,"LL8"
"June_7_2023","F",36.96,21.21,18.72,15.12,16.37,21.74,"NF10"
"7_29_2023","M",43.46,36.54,37.53,31.15,33.25,21.29,"NF10"
"8_14_2023","F",21.26,27.26,12.73,21.35,21.72,28.55,"NF2"
"8_18_2023","M",24.6,28.48,36.02,25.65,19.85,25.17,"NF2"
"7_17_2023","F",28.08,NA,NA,16.45,25.17,21.76,"NF4"
"7_29_2023","M",30.48,NA,NA,24.05,25.63,27.8,"NF4"
"8_29_2023","",NA,NA,NA,NA,NA,NA,"NF4"
"7_29_2023","F",21.47,NA,NA,NA,NA,NA,"NF7"
"7_17_2023","M",43.91,NA,NA,NA,NA,NA,"NF7"
"7_21_2023","",NA,NA,NA,NA,NA,NA,"NF7"
"8_27_2023","F",17.24,18.3,20.29,20.82,20.57,11.7,"NF8"
"7_6_2023","M",35.86,29.51,34.12,25.53,24.47,23.71,"NF8"
"7_24_2023","F",33.21,22.92,21.32,20.92,27.35,19.13,"NF9"
"7_12_2023","M",25.89,32.18,29.62,25.4,30.35,22.08,"NF9"
"7_16_2023","F",9999,57.24,42.92,9999,38.85,47.94,"NG2"
"8_6_2023","M",9999,9999,9999,9999,52.7,9999,"NG2"
"8_29_2023","M",9999,9999,9999,9999,41.48,45.86,"NG4"
"8_27_2023","F",22.21,56.55,54.49,50.09,44.51,40.59,"NG4"
"June_29_2023","M",9999,9999,43.7,44.23,42.95,34.14,"NG5"
"June_25_2023","F",49.63,47.59,41.51,46.42,47.54,46.1,"NG5"
